
File                        Chinese EnWords Total
----                        ------- ------- -----
google4fc1865e51bc4f82.html       0       7     7
timeline-en.html                  5      55    60
checklist-en.html                 2      60    62
budget-reference.html            78       6    84
poster-en.html                    0      90    90
invitation-en.html                0      95    95
i.html                           88      17   105
mv-style.html                    96      14   110
en.html                           0     126   126
calculator-en.html                2     128   130
timeline-templates.html         124      12   136
playlist.html                   129      10   139
blog-global-en.html               1     157   158
speech.html                     151      11   162
tools-en.html                     0     171   171
404.html                        181      13   194
checklist.html                  191      17   208
vows.html                       202      14   216
countdown.html                  205      17   222
blog-global-western-en.html       2     246   248
qr-poster.html                  262       7   269
blog-global-india-en.html         3     278   281
timeline.html                   294       8   302
blog-global-japan-en.html         0     315   315
blog-global-korea-en.html         0     344   344
almanac.html                    400      11   411
poster.html                     395      26   421
calculator.html                 443      15   458
invitation.html                 478      27   505
about-en.html                     2     579   581
privacy-en.html                   2     583   585
guide-en.html                     7     585   592
live.html                       435     212   647
terms-en.html                     2     671   673
about.html                      972      52  1024
guide-livestream.html           995      33  1028
privacy.html                    999      46  1045
guide.html                     1012      72  1084
terms.html                     1110      32  1142
blog\vietnam.html              1435      33  1468
blog\thailand.html             1599      62  1661
blog\indonesia.html            1671      77  1748
index.html                     1267     574  1841
blog\dubai.html                1828      92  1920
blog.html                      2221     136  2357
blog\beijing.html              2619      19  2638
blog\jilin.html                2624      19  2643
blog\chongqing.html            2625      19  2644
blog\henan.html                2630      19  2649
blog\liaoning.html             2631      19  2650
blog\tianjin.html              2632      19  2651
blog\shanxi.html               2636      19  2655
blog\hubei.html                2637      19  2656
blog\hunan.html                2642      19  2661
blog\hebei.html                2644      19  2663
blog\shanghai.html             2645      19  2664
blog\hainan.html               2655      19  2674
blog\heilongjiang.html         2655      19  2674
blog\qinghai.html              2656      19  2675
blog\zhejiang.html             2657      19  2676
blog\jiangsu.html              2658      19  2677
blog\sichuan.html              2659      19  2678
blog\anhui.html                2660      19  2679
blog\fujian.html               2663      19  2682
blog\guizhou.html              2666      19  2685
blog\guangdong.html            2666      19  2685
blog\yunnan.html               2667      19  2686
blog\taiwan.html               2667      19  2686
blog\jiangxi.html              2669      19  2688
blog\guangxi.html              2669      19  2688
blog\xizang.html               2671      19  2690
blog\shandong.html             2671      19  2690
blog\gansu.html                2673      19  2692
blog\shaanxi.html              2674      19  2693
blog\ningxia.html              2674      19  2693
blog\xinjiang.html             2675      19  2694
blog\aomen.html                2684      19  2703
blog\xianggang.html            2685      19  2704
blog\neimenggu.html            2700      19  2719




=== 字数 < 600 的页面（可能被判低价值）===

File                        Chinese EnWords Total
----                        ------- ------- -----
google4fc1865e51bc4f82.html       0       7     7
timeline-en.html                  5      55    60
checklist-en.html                 2      60    62
budget-reference.html            78       6    84
poster-en.html                    0      90    90
invitation-en.html                0      95    95
i.html                           88      17   105
mv-style.html                    96      14   110
en.html                           0     126   126
calculator-en.html                2     128   130
timeline-templates.html         124      12   136
playlist.html                   129      10   139
blog-global-en.html               1     157   158
speech.html                     151      11   162
tools-en.html                     0     171   171
404.html                        181      13   194
checklist.html                  191      17   208
vows.html                       202      14   216
countdown.html                  205      17   222
blog-global-western-en.html       2     246   248
qr-poster.html                  262       7   269
blog-global-india-en.html         3     278   281
timeline.html                   294       8   302
blog-global-japan-en.html         0     315   315
blog-global-korea-en.html         0     344   344
almanac.html                    400      11   411
poster.html                     395      26   421
calculator.html                 443      15   458
invitation.html                 478      27   505
about-en.html                     2     579   581
privacy-en.html                   2     583   585
guide-en.html                     7     585   592



